사용일자,요일,노선명,역명,승차총승객수,하차총승객수,승하자총승객수,연월,월일,등록일자
2019-01-01,월,분당선,매탄권선,2049.0,2134.0,4183.0,2019-01,01-01,20190104
2019-01-01,월,분당선,수원시청,7717.0,6262.0,13979.0,2019-01,01-01,20190104
2019-01-01,월,분당선,매교,1063.0,1108.0,2171.0,2019-01,01-01,20190104
2019-01-01,월,3호선,원흥,3612.0,3504.0,7116.0,2019-01,01-01,20190104
2019-01-01,월,3호선,삼송,8642.0,8769.0,17411.0,2019-01,01-01,20190104
2019-01-01,월,3호선,원당,5593.0,5631.0,11224.0,2019-01,01-01,20190104
2019-01-01,월,3호선,화정,9158.0,8802.0,17960.0,2019-01,01-01,20190104
2019-01-01,월,3호선,대곡,708.0,591.0,1299.0,2019-01,01-01,20190104
2019-01-01,월,3호선,백석,6303.0,5921.0,12224.0,2019-01,01-01,20190104
2019-01-01,월,3호선,마두,3214.0,3285.0,6499.0,2019-01,01-01,20190104
2019-01-01,월,3호선,정발산,4550.0,4511.0,9061.0,2019-01,01-01,20190104
2019-01-01,월,3호선,주엽,3919.0,4151.0,8070.0,2019-01,01-01,20190104
2019-01-01,월,3호선,대화,6005.0,5508.0,11513.0,2019-01,01-01,20190104
2019-01-01,월,1호선,회기,12769.0,13842.0,26611.0,2019-01,01-01,20190104
2019-01-01,월,경의선,중랑,2803.0,2877.0,5680.0,2019-01,01-01,20190104
2019-01-01,월,경의선,상봉,3227.0,3105.0,6332.0,2019-01,01-01,20190104
2019-01-01,월,경의선,망우,3986.0,4057.0,8043.0,2019-01,01-01,20190104
2019-01-01,월,경의선,양원,657.0,688.0,1345.0,2019-01,01-01,20190104
2019-01-01,월,경의선,구리,6301.0,6943.0,13244.0,2019-01,01-01,20190104
2019-01-01,월,경의선,도농,3686.0,3617.0,7303.0,2019-01,01-01,20190104
2019-01-01,월,경의선,양정,347.0,328.0,675.0,2019-01,01-01,20190104
2019-01-01,월,경의선,덕소,3045.0,3080.0,6125.0,2019-01,01-01,20190104
2019-01-01,월,경의선,도심,1056.0,1046.0,2102.0,2019-01,01-01,20190104
2019-01-01,월,경의선,팔당,794.0,714.0,1508.0,2019-01,01-01,20190104
